cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l,U99832,ug/l,17060-07-1,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",D99832
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l,U99832,%,17060-07-0,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",NA
2037-26-5,TOLUENE-D8,T,ug/l,U99833,percent,2037-26-5,Information,"Toluene-d8, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,alternative:91818,NA,"NA"
460-00-4,P-BROMOFLUOROBENZENE,T,ug/l,U90654,percent,460-00-4,Information,"1-Bromo-4-fluorobenzene, surrogate, water, filtered, percent recovery",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
DISS_OXYGEN,DISSOLVED OXYGEN,D,mg/l,U00300,mg/l,7782-44-7,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",Oxygen,"NA","NA","NA","NA","NA","NA","NA","NA",NA
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",D,mg/l,U70507,mg/l,14265-44-2,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
7440-44-0,TOTAL CARBON,T,mg/l,U00690,mg/l,7440-44-0,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], water, unfiltered, milligrams per liter",Total Carbon,"NA","NA","NA","NA","NA","NA","NA","NA",NA
COND,CONDUCTIVITY,T,umhos/cm,U90096,uS/cm @25C,NA,Physical,"Specific conductance, water, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-97-6,MERCURY,T,ppt,U50284,ng/l,7439-97-6,"Organics, other","Methylmercury, water, unfiltered, recoverable, nanograms per liter",Methylmercury(1+),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",T,mg/l,U51131,mg/l,14265-44-2,Nutrient,"Orthophosphate, water, unfiltered, recoverable, milligrams per liter as phosphate",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
