sys_sample_code,SBU_ID,sample_date,chemical_name,fraction,result_numeric,result_unit,interpreted_qualifiers,method_detection_limit,detection_limit_unit
07010005-09102001-WS,07-OSWE-5.2,9/10/2001 11:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.333,mg/l,NA,NA,NA
07010005-09112006-WS,07-OSWE-5.2,9/11/2006 10:00:00 AM,Phosphorus,T,0.0607,mg/l,NA,NA,NA
07010005-09112006-WS,07-OSWE-5.2,9/11/2006 10:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.544,mg/l,NA,NA,NA
07010005-09122005-WS,07-OSWE-5.2,9/12/2005 10:00:00 AM,Phosphorus,T,0.0481,mg/l,NA,NA,NA
07010005-09122005-WS,07-OSWE-5.2,9/12/2005 10:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.412,mg/l,NA,NA,NA
07010005-09152003-WS,07-OSWE-5.2,9/15/2003 10:00:00 AM,Phosphorus,T,0.0488,mg/l,NA,NA,NA
07010005-09152003-WS,07-OSWE-5.2,9/15/2003 10:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.589,mg/l,NA,NA,NA
07010005-10012002-WS,07-OSWE-5.2,10/1/2002 11:00:00 AM,Phosphorus,T,0.0479,mg/l,NA,NA,NA
07010005-10012002-WS,07-OSWE-5.2,10/1/2002 11:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.191,mg/l,NA,NA,NA
07010005-10012007-WS,07-OSWE-5.2,10/1/2007 11:00:00 AM,Phosphorus,T,0.0554,mg/l,NA,NA,NA
07010005-10012007-WS,07-OSWE-5.2,10/1/2007 11:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.53,mg/l,NA,NA,NA
07010005-10062004-WS,07-OSWE-5.2,10/6/2004 9:00:00 AM,Phosphorus,T,0.0475,mg/l,NA,NA,NA
07010005-10062004-WS,07-OSWE-5.2,10/6/2004 9:00:00 AM,"Nitrogen, Nitrate (As N)",T,0.693,mg/l,NA,NA,NA
