"CHEM_HISTORY_BATCH_ID","CHEM_HISTORY_SAMPLE_ID","CHB_SYS_SAMPLE_CDE","CHB_LAB_ANAL_METHOD_NAME","CHB_ANALYSIS_DATE","CHB_FRACTION","CHB_TEST_TYPE","CHB_TEST_BATCH_TYPE","CHB_TEST_BATCH_ID","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","","13ROND-9.9EB_070517_WS","D6919-09",2017-07-08 00:09:00,"T","initial","Analysis","552814","","","",""
"","","13ROND-9.9EB_070517_WS","E300.0",2017-07-08 00:12:00,"T","initial","Analysis","552827","","","",""
"","","13ROND-9.9EB_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ROND-9.9EB_070517_WS","SM2340B",2017-07-11 13:19:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13ROND-9.9EB_070517_WS","Calculation",2017-07-06 16:35:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9EB_070517_WS","E353.2",2017-07-08 13:02:00,"T","initial","Analysis","552790","","","",""
"","","13ROND-9.9EB_070517_WS","E353.2",2017-07-06 16:35:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9EB_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ROND-9.9EB_070517_WS","E365.1",2017-07-19 15:32:00,"T","initial","Prep","292993","","","",""
"","","13ROND-9.9EB_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","552987-MB1","SM 2320 B",2017-07-10 21:09:00,"T","initial","Analysis","552987","","","",""
"","","552813-MB1","D6919-09",2017-07-07 17:12:00,"T","initial","Analysis","552813","","","",""
"","","552825-MB1","E300.0",2017-07-07 18:34:00,"T","initial","Analysis","552825","","","",""
"","","552789-MB1","E353.2",2017-07-08 12:18:00,"T","initial","Analysis","552789","","","",""
"","","552793-MB1","E353.2",2017-07-06 16:17:00,"T","initial","Analysis","552793","","","",""
"","","292371-MB1","E365.1",2017-07-13 13:16:00,"T","initial","Prep","292371","","","",""
"","","552759-MB1","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","552814-MB2","D6919-09",2017-07-07 23:37:00,"T","initial","Analysis","552814","","","",""
"","","552827-MB2","E300.0",2017-07-07 22:47:00,"T","initial","Analysis","552827","","","",""
"","","552790-MB2","E353.2",2017-07-08 12:51:00,"T","initial","Analysis","552790","","","",""
"","","292993-MB2","E365.1",2017-07-19 15:26:00,"T","initial","Prep","292993","","","",""
"","","552976-MB3","D6919-09",2017-07-10 11:16:00,"T","initial","Analysis","552976","","","",""
"","","553044-MB3","E300.0",2017-07-10 15:47:00,"T","initial","Analysis","553044","","","",""
"","","553387-MB4","D6919-09",2017-07-12 10:53:00,"T","initial","Analysis","553387","","","",""
"","","552987-LCS1","SM 2320 B",2017-07-10 21:33:00,"T","initial","Analysis","552987","","","",""
"","","552813-LCS1","D6919-09",2017-07-07 17:28:00,"T","initial","Analysis","552813","","","",""
"","","552825-LCS1","E300.0",2017-07-07 18:45:00,"T","initial","Analysis","552825","","","",""
"","","552789-LCS1","E353.2",2017-07-08 12:19:00,"T","initial","Analysis","552789","","","",""
"","","552793-LCS1","E353.2",2017-07-06 16:18:00,"T","initial","Analysis","552793","","","",""
"","","292371-LCS1","E365.1",2017-07-13 13:42:00,"T","initial","Prep","292371","","","",""
"","","552814-LCS2","D6919-09",2017-07-07 23:53:00,"T","initial","Analysis","552814","","","",""
"","","552827-LCS2","E300.0",2017-07-07 22:58:00,"T","initial","Analysis","552827","","","",""
"","","552790-LCS2","E353.2",2017-07-08 12:52:00,"T","initial","Analysis","552790","","","",""
"","","292993-LCS2","E365.1",2017-07-19 15:27:00,"T","initial","Prep","292993","","","",""
"","","552976-LCS3","D6919-09",2017-07-10 11:32:00,"T","initial","Analysis","552976","","","",""
"","","553044-LCS3","E300.0",2017-07-10 15:57:00,"T","initial","Analysis","553044","","","",""
"","","553387-LCS4","D6919-09",2017-07-12 11:09:00,"T","initial","Analysis","553387","","","",""
"","","13ROND-9.9_070517_WSDUP","SM 2320 B",2017-07-10 22:30:00,"T","initial","Analysis","552987","","","",""
"","","13ROND-9.9_070517_WSDUP","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ROND-9.9_070517_WSDUP","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ROND-9.9_070517_WSDUP","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13ROND-9.9EB_070517_WSDUP","SM 2320 B",2017-07-10 23:28:00,"T","initial","Analysis","552987","","","",""
"","","13ROND-9.9_070517_WSMS","D6919-09",2017-07-07 21:12:00,"T","initial","Analysis","552813","","","",""
"","","13ROND-9.9_070517_WSMS","E300.0",2017-07-07 22:16:00,"T","initial","Analysis","552825","","","",""
"","","13ROND-9.9_070517_WSMS","E353.2",2017-07-08 12:44:00,"T","initial","Analysis","552789","","","",""
"","","13ROND-9.9_070517_WSMS","E353.2",2017-07-06 16:25:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9_070517_WSMS","E365.1",2017-07-13 13:24:00,"T","initial","Prep","292371","","","",""
"","","13ROND-9.9EB_070517_WSMS","D6919-09",2017-07-08 00:25:00,"T","initial","Analysis","552814","","","",""
