"CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT"
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/28/2021 12:26:00",,"Lab Control Sample",,,"NYSDEC",
"00-QAQC-0.0","03/24/2021","N","ALSRNY","717351-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/24/2021 21:50:00",,"Lab Control Sample",,,"NYSDEC",
"00-QAQC-0.0","03/22/2021","N","ALSRNY","376148-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/22/2021 15:14:00",,"Lab Control Sample",,,"NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376467-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/28/2021 12:26:00",,"Lab Control Sample",,,"NYSDEC",
"00-QAQC-0.0","03/23/2021","N","ALSRNY","717040-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/23/2021 12:15:00",,"Lab Control Sample",,,"NYSDEC",
"00-QAQC-0.0","03/23/2021","N","ALSRNY","717041-LCS2","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102507","03/23/2021 12:15:00",,"Lab Control Sample",,,"NYSDEC",
"12-ORSK-0.9","03/16/2021","N","ALSRNY","12-ORSK-0.9-03162021-WDUP","12-ORSK-0.9-03162021-W","WS","N","LR","Lab","12-ORSK-0.9-03162021-W","R2102507","03/16/2021 10:30:00","03/18/2021","12-ORSK-0.9",,,"NYSDEC",
"12-NMIL-0.5","03/23/2021","N","ALSRNY","12-NMIL-0.5-03232021-W","12-NMIL-0.5-03232021-W","WS","N","N","Field","","R2102700","03/23/2021 10:15:00","03/24/2021","12-NMIL-0.5",,"032321C01W","NYSDEC",
"12-REAL-0.1","03/23/2021","N","ALSRNY","12-REAL-0.1-03232021-W","12-REAL-0.1-03232021-W","WS","N","N","Field","","R2102700","03/23/2021 10:45:00","03/24/2021","12-REAL-0.1",,"032321C01W","NYSDEC",
"12-FULM-0.4","03/23/2021","N","ALSRNY","12-FULM-0.4-03232021-W","12-FULM-0.4-03232021-W","WS","N","N","Field","","R2102700","03/23/2021 12:00:00","03/24/2021","12-FULM-0.4",,"032321C01W","NYSDEC",
"12-CARO-0.3","03/23/2021","N","ALSRNY","12-CARO-0.3-03232021-W","12-CARO-0.3-03232021-W","WS","N","N","Field","","R2102700","03/23/2021 13:00:00","03/24/2021","12-CARO-0.3",,"032321C01W","NYSDEC",
"12-CARO-0.3","03/23/2021","N","ALSRNY","12-CARO-0.3-03232021-W-DUP","12-CARO-0.3-03232021-W-DUP","WS","N","N","Field","","R2102700","03/23/2021 13:30:00","03/24/2021","12-CARO-0.3",,"032321C01W","NYSDEC",
"12-CARO-0.3","03/23/2021","N","ALSRNY","12-CARO-0.3-032321-W-EB","12-CARO-0.3-032321-W-EB","WS","EB","N","Field","","R2102700","03/23/2021 14:20:00","03/24/2021","12-CARO-0.3",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/28/2021 12:26:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/29/2021","N","ALSRNY","717875-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/29/2021 18:22:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/25/2021","N","ALSRNY","376348-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/25/2021 13:46:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376467-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/28/2021 12:26:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/29/2021","N","ALSRNY","717767-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/29/2021 08:55:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/24/2021","N","ALSRNY","717541-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/24/2021 11:05:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376468-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/28/2021 12:26:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/29/2021","N","ALSRNY","717876-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102700","03/29/2021 18:55:00",,"Method Blank",,"032321C01W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102700","03/28/2021 12:26:00",,"Lab Control Sample",,"032321C01W","NYSDEC",
