"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"13-ESOP-28.7_07272017_WS","Calculation","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-ESOP-28.7_07272017_WS","E353.2","08/02/2017 16:09:00","T",NA,"initial","Analysis","556184"
"13-ESOP-28.7_07272017_WS","E353.2","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-ESOP-28.7_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-ESOP-28.7_07272017_WS","E365.1","08/02/2017 19:57:00","T",NA,"initial","Prep","294353"
"13-ESOP-28.7_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-ESOP-29.6_07272017_WS","SM 2320 B","08/07/2017 21:11:00","T",NA,"initial","Analysis","556931"
"13-ESOP-29.6_07272017_WS","D6919-09","08/09/2017 09:01:00","T",NA,"initial","Analysis","557004"
"13-ESOP-29.6_07272017_WS","E300.0","08/02/2017 01:16:00","T",NA,"initial","Analysis","556040"
"13-ESOP-29.6_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-ESOP-29.6_07272017_WS","SM2340B","08/04/2017 18:48:00","T",NA,"initial","Analysis","6AUG04A"
"13-ESOP-29.6_07272017_WS","Calculation","07/28/2017 11:20:00","T",NA,"initial","Analysis","555904"
"13-ESOP-29.6_07272017_WS","E353.2","08/02/2017 16:10:00","T",NA,"initial","Analysis","556184"
"13-ESOP-29.6_07272017_WS","E353.2","07/28/2017 11:20:00","T",NA,"initial","Analysis","555904"
"13-ESOP-29.6_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-ESOP-29.6_07272017_WS","E365.1","08/02/2017 20:00:00","T",NA,"initial","Prep","294353"
"13-ESOP-29.6_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-BUSK-0.2_07272017_WS","SM 2320 B","08/07/2017 21:15:00","T",NA,"initial","Analysis","556931"
"13-BUSK-0.2_07272017_WS","D6919-09","08/09/2017 09:34:00","T",NA,"initial","Analysis","557004"
"13-BUSK-0.2_07272017_WS","E300.0","08/02/2017 01:47:00","T",NA,"initial","Analysis","556040"
"13-BUSK-0.2_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-BUSK-0.2_07272017_WS","SM2340B","08/04/2017 18:51:00","T",NA,"initial","Analysis","6AUG04A"
"13-BUSK-0.2_07272017_WS","Calculation","07/28/2017 11:21:00","T",NA,"initial","Analysis","555904"
"13-BUSK-0.2_07272017_WS","E353.2","08/02/2017 16:12:00","T",NA,"initial","Analysis","556184"
"13-BUSK-0.2_07272017_WS","E353.2","07/28/2017 11:21:00","T",NA,"initial","Analysis","555904"
"13-BUSK-0.2_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-BUSK-0.2_07272017_WS","E365.1","08/02/2017 20:01:00","T",NA,"initial","Prep","294353"
"13-BUSK-0.2_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-TRAV-2.7_07272017_WS","SM 2320 B","08/07/2017 21:19:00","T",NA,"initial","Analysis","556931"
"13-TRAV-2.7_07272017_WS","D6919-09","08/09/2017 10:07:00","T",NA,"initial","Analysis","557004"
"13-TRAV-2.7_07272017_WS","E300.0","08/02/2017 02:29:00","T",NA,"initial","Analysis","556047"
"13-TRAV-2.7_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-TRAV-2.7_07272017_WS","SM2340B","08/04/2017 18:55:00","T",NA,"initial","Analysis","6AUG04A"
"13-TRAV-2.7_07272017_WS","Calculation","07/28/2017 11:21:00","T",NA,"initial","Analysis","555904"
"13-TRAV-2.7_07272017_WS","E353.2","08/02/2017 16:16:00","T",NA,"initial","Analysis","556184"
"13-TRAV-2.7_07272017_WS","E353.2","07/28/2017 11:21:00","T",NA,"initial","Analysis","555904"
"13-TRAV-2.7_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-TRAV-2.7_07272017_WS","E365.1","08/02/2017 20:16:00","T",NA,"initial","Prep","294354"
"13-TRAV-2.7_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-ESOP-28.7DUP_07272017_WS","SM 2320 B","08/07/2017 21:23:00","T",NA,"initial","Analysis","556931"
"13-ESOP-28.7DUP_07272017_WS","D6919-09","08/09/2017 11:46:00","T",NA,"initial","Analysis","557004"
"13-ESOP-28.7DUP_07272017_WS","E300.0","08/02/2017 02:40:00","T",NA,"initial","Analysis","556047"
"13-ESOP-28.7DUP_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-ESOP-28.7DUP_07272017_WS","SM2340B","08/04/2017 18:58:00","T",NA,"initial","Analysis","6AUG04A"
"13-ESOP-28.7DUP_07272017_WS","Calculation","07/28/2017 11:20:00","T",NA,"initial","Analysis","555904"
"13-ESOP-28.7DUP_07272017_WS","E353.2","08/02/2017 16:17:00","T",NA,"initial","Analysis","556184"
"13-ESOP-28.7DUP_07272017_WS","E353.2","07/28/2017 11:20:00","T",NA,"initial","Analysis","555904"
"13-ESOP-28.7DUP_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-ESOP-28.7DUP_07272017_WS","E365.1","08/02/2017 20:17:00","T",NA,"initial","Prep","294354"
"13-ESOP-28.7DUP_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"555663-MB1","SM 2320 B","07/30/2017 12:12:00","T",NA,"initial","Analysis","555663"
"556772-MB1","D6919-09","08/07/2017 09:06:00","T",NA,"initial","Analysis","556772"
"556037-MB1","E300.0","08/01/2017 17:42:00","T",NA,"initial","Analysis","556037"
"556180-MB1","E353.2","08/02/2017 15:00:00","T",NA,"initial","Analysis","556180"
"555473-MB1","E353.2","07/26/2017 18:40:00","T",NA,"initial","Analysis","555473"
"293901-MB1","E365.1","07/31/2017 11:50:00","T",NA,"initial","Prep","293901"
"555219-MB1","E180.1","07/26/2017 15:35:00","T",NA,"initial","Analysis","555219"
"555664-MB2","SM 2320 B","07/30/2017 14:40:00","T",NA,"initial","Analysis","555664"
"557002-MB2","D6919-09","08/08/2017 11:32:00","T",NA,"initial","Analysis","557002"
"556040-MB2","E300.0","08/01/2017 21:55:00","T",NA,"initial","Analysis","556040"
"556184-MB2","E353.2","08/02/2017 15:33:00","T",NA,"initial","Analysis","556184"
"555535-MB2","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"294117-MB2","E365.1","08/02/2017 18:00:00","T",NA,"initial","Prep","294117"
"555285-MB2","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"555665-MB3","SM 2320 B","07/30/2017 16:42:00","T",NA,"initial","Analysis","555665"
"557004-MB3","D6919-09","08/09/2017 00:45:00","T",NA,"initial","Analysis","557004"
"556047-MB3","E300.0","08/02/2017 02:08:00","T",NA,"initial","Analysis","556047"
"555904-MB3","E353.2","07/28/2017 11:12:00","T",NA,"initial","Analysis","555904"
"294353-MB3","E365.1","08/02/2017 19:36:00","T",NA,"initial","Prep","294353"
"555672-MB3","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"556931-MB4","SM 2320 B","08/07/2017 19:40:00","T",NA,"initial","Analysis","556931"
"556205-MB4","E300.0","08/02/2017 22:33:00","T",NA,"initial","Analysis","556205"
"294354-MB4","E365.1","08/02/2017 20:12:00","T",NA,"initial","Prep","294354"
"555663-LCS1","SM 2320 B","07/30/2017 12:16:00","T",NA,"initial","Analysis","555663"
"556772-LCS1","D6919-09","08/07/2017 09:39:00","T",NA,"initial","Analysis","556772"
"556037-LCS1","E300.0","08/01/2017 17:53:00","T",NA,"initial","Analysis","556037"
"556180-LCS1","E353.2","08/02/2017 15:03:00","T",NA,"initial","Analysis","556180"
"555473-LCS1","E353.2","07/26/2017 18:40:00","T",NA,"initial","Analysis","555473"
"293901-LCS1","E365.1","07/31/2017 11:51:00","T",NA,"initial","Prep","293901"
"555664-LCS2","SM 2320 B","07/30/2017 14:50:00","T",NA,"initial","Analysis","555664"
"557002-LCS2","D6919-09","08/08/2017 12:05:00","T",NA,"initial","Analysis","557002"
"556040-LCS2","E300.0","08/01/2017 22:06:00","T",NA,"initial","Analysis","556040"
"556184-LCS2","E353.2","08/02/2017 15:43:00","T",NA,"initial","Analysis","556184"
"555535-LCS2","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"294117-LCS2","E365.1","08/02/2017 18:01:00","T",NA,"initial","Prep","294117"
"555665-LCS3","SM 2320 B","07/30/2017 17:08:00","T",NA,"initial","Analysis","555665"
"557004-LCS3","D6919-09","08/09/2017 01:18:00","T",NA,"initial","Analysis","557004"
